id,name,gender,dob,mobile,email,dept,year,regno,pass,address,city,school1,mark1,school2,mark2,father,occupation,jobtype,location,income,monther,occu2,jobtype2,location2,income2,mark,sport,extra_cur,skill,arrear,clear
1,Raju,Male,12-12-1997,9934621654,raju@gmail.com,BE CSE,2018-2022,101,1234,"22,SS Nagar",Trichy,SDBHS,85.64,SDBHS,88,Suresh,Manager,Government Job,Madurai,300000,Radha,x,x,x,0,91.16666667,"Cricket,Tennis,Foot Ball","Seminar Participated,Drawing,Music","CAD Design,Multimedia,Java",0,0
2,Vishal,Male,10-11-1997,8866733546,vishal@gmail.com,BE CSE,2018-2022,102,1234,"4/312, MG Colony",Madurai,GGS,85.73,GGS,88.64,Raju,Farmer,Private,Tanjore,200000,Sara,x,x,x,0,62.66666667,Cricket,x,x,1,1
3,Aarthi,Female,18-04-1999,7664530011,Aarthi1@gmail.com,BE EEE,2018-2019,103,1234,"2/29A , AD street
Veesanam(Po),
Namakkal(Dt)",Namakkal,SSA,78.24,SSA,82.3,x,x,x,x,200000,x,x,x,x,0,56.3,Tennis,x,x,3,2
4,Abirami,Female,11-11-1998,7664530012,Abirami2@gmail.com,MCA,2018-2019,104,1234,"6/237 , AD street
Marurpatty(Po),
Namakkal(Dt)",Namakkal,BBP,67.45,BBP,69.5,x,x,x,x,100000,x,x,x,x,0,78.3,Tennis,x,x,1,1
5,Akhilesh kumar,Male,10-02-1998,7664530013,Akhileshkumar3@gmail.com,BE ECE,2018-2019,105,1234,"Malsalame Chhote Nagla, 
Adarshcolony, 
Patna (City),",Patna,SSB,88.34,SSB,90.4,x,x,x,x,200000,x,x,x,x,0,89.6,Tennis,x,x,0,0
6,Anitha,Female,02-07-1999,7664530014,Anitha4gmail.com4@gmail.com,BE CSE,2018-2019,106,1234,"26/64,OOrpuram Colony,
Vasalurpatty(Po),
Kollihlls,Namakkal(Dt)",Namakkal,BBG,80.67,BBG,76.8,x,x,x,x,200000,x,x,x,x,0,90.2,Cricket,x,x,0,0
7,Arthi,Female,27-04-1999,7664530015,Arthi5@gmail.com,MBA,2018-2019,107,1234,"3/77, Pallar street, 
Varagur, 
Namakkal.",Namakkal,HSS,90.25,HSS,91.5,x,x,x,x,200000,x,x,x,x,0,91.3,Cricket,x,x,0,0
8,Ashwani kumar,Male,21-12-1998,7664530016,Ashwanikumar6@gmail.com,BE CIVIL,2018-2019,108,1234,"Villchandan bag,
Munger(PO),
PS.Kashimbazar,Munger(DT).",Munger,GHHS,56.7,GHHS,60.4,x,x,x,x,180000,x,x,x,x,0,78.3,Cricket,x,x,0,0
9,Bhuvaneshwari,Female,26-10-1998,7664530017,Bhuvaneshwari7@gmail.com,BE MECH,2018-2019,109,1234,"28,Kaliyappanoor,
Collectorate(PO),
Thanthonimalai(TK),Karur(DT)",Karur,GHHS,66.4,GHHS,72.5,x,x,x,x,200000,x,x,x,x,0,75.7,Cricket,x,x,0,0
10,Boopathi,Male,25-07-1997,7664530018,Boopathi8@gmail.com,BE EEE,2018-2019,110,1234,"36,Pillaiyankovil theru,
A.S.Pettai,Namakkal(DT)",Namakkal,GHHS,78.3,GHHS,84.6,x,x,x,x,200000,x,x,x,x,0,89.3,Cricket,x,x,0,0
